"municipio.x";"cod_ibge";"uf";"total_doses";"total_dose_1";"total_dose_2";"populacao";"cobertura_vacinal_dose_1";"cobertura_vacinal_dose_2"
"Nova Trento";421150;"SC";9837;6852;2705;14782;46,4;18,3
"Quilombo";421420;"SC";8476;6679;1797;9829;68;18,3
"Lavras Do Sul";431150;"RS";5229;3796;1363;7444;51;18,3
"Bonfinópolis De Minas";310820;"MG";3595;2584;996;5444;47,5;18,3
"Jacobina Do Piauí";220515;"PI";3487;2321;1050;5729;40,5;18,3
"Caiabu";350890;"SP";3472;2589;767;4193;61,7;18,3
"São José Do Hortêncio";431848;"RS";3243;2228;890;4865;45,8;18,3
"Nova Independência";353320;"SP";2919;2004;743;4053;49,4;18,3
"Itaju";352200;"SP";2899;2082;712;3887;53,6;18,3
"Muitos Capões";431261;"RS";2145;1479;581;3173;46,6;18,3
"Santo Antônio Do Caiuá";412420;"PR";1971;1429;481;2626;54,4;18,3
"Simão Pereira";316750;"MG";1781;1287;478;2618;49,2;18,3
"Ivolândia";521160;"GO";1694;1252;426;2334;53,6;18,3
"Vanini";432255;"RS";1569;1120;389;2122;52,8;18,3
"Promissão";354160;"SP";32553;24735;7443;40828;60,6;18,2
"Itapoá";420845;"SC";16364;11845;3845;21177;55,9;18,2
"Dores Do Indaiá";312320;"MG";9231;6720;2439;13427;50;18,2
"Itapetim";260770;"PE";8937;6361;2462;13553;46,9;18,2
"Bom Jesus";430230;"RS";7778;5473;2059;11309;48,4;18,2
"Jesuítas";411275;"PR";6905;5180;1514;8330;62,2;18,2
"Iporã Do Oeste";420765;"SC";6680;4734;1645;9045;52,3;18,2
"Bilac";350640;"SP";5618;4028;1477;8117;49,6;18,2
"Ipaporanga";230565;"CE";4635;2496;2110;11596;21,5;18,2
"Boa Vista";250215;"PB";4573;3165;1297;7136;44,4;18,2
"Luzerna";421003;"SC";4417;3206;1034;5684;56,4;18,2
"São João Do Oeste";421625;"SC";4406;3188;1163;6402;49,8;18,2
"Ipira";420760;"SC";3054;2249;800;4406;51;18,2
"Arroio Trinta";420160;"SC";2726;1984;645;3549;55,9;18,2
"Bias Fortes";310680;"MG";2335;1730;605;3329;52;18,2
"Braga";430260;"RS";2142;1540;602;3311;46,5;18,2
"São Domingos";251396;"PB";1912;1328;564;3097;42,9;18,2
"Coxim";500330;"MS";22192;14922;6092;33633;44,4;18,1
"Bela Vista";500210;"MS";20307;10234;4483;24735;41,4;18,1
"Pariquera-Açu";353620;"SP";13780;9804;3563;19723;49,7;18,1
"Matinha";210650;"MA";12675;8240;4242;23482;35,1;18,1
"Muniz Freire";320370;"ES";12308;8607;3131;17319;49,7;18,1
"Lagoa Formosa";313750;"MG";12236;8824;3287;18111;48,7;18,1
"Piratininga";353940;"SP";10251;7179;2491;13765;52,2;18,1
"Presidente Vargas";210930;"MA";8811;6768;2043;11261;60,1;18,1
"Barra Do Mendes";290300;"BA";8655;6120;2507;13833;44,2;18,1
"Águas Da Prata";350040;"SP";5827;4115;1486;8221;50,1;18,1
"Ibiara";250660;"PB";3575;2381;1069;5903;40,3;18,1
"Riqueza";421507;"SC";3153;2299;824;4561;50,4;18,1
"Aguanil";310080;"MG";3062;2182;818;4522;48,3;18,1
"Iraceminha";420775;"SC";2968;2136;712;3938;54,2;18,1
"Brás Pires";310870;"MG";2921;2146;775;4293;50;18,1
"São Martinho Da Serra";431912;"RS";2507;1853;586;3231;57,4;18,1
"Victor Graeff";432320;"RS";2059;1489;519;2860;52,1;18,1
"Arvoredo";420165;"SC";2004;1524;405;2234;68,2;18,1
"Novo Horizonte";421165;"SC";1889;1376;434;2404;57,2;18,1
"Mirim Doce";421085;"SC";1828;1334;413;2283;58,4;18,1
"Belo Horizonte";310620;"MG";1678298;1207066;453641;2521564;47,9;18
"Maringá";411520;"PR";342350;257546;77216;430157;59,9;18
"Itapemirim";320280;"ES";24935;17665;6240;34656;51;18
"Carmo Do Paranaíba";311430;"MG";20758;14547;5473;30334;48;18
"Quaraí";431530;"RS";16434;11824;4072;22607;52,3;18
"Caculé";290500;"BA";15977;11508;4192;23291;49,4;18
"Condeúba";290870;"BA";10615;7388;3090;17178;43;18
"Presidente Dutra";292560;"BA";10129;7229;2726;15160;47,7;18
"Mojuí Dos Campos";150475;"PA";8636;5526;2908;16184;34,1;18
"Ouro";421180;"SC";5085;3536;1312;7272;48,6;18
"Meridiano";352960;"SP";2881;2015;687;3824;52,7;18
"Pontão";431477;"RS";2775;1972;702;3901;50,6;18
"Redenção Da Serra";354230;"SP";2561;1808;691;3839;47,1;18
"Monte Alegre Dos Campos";431237;"RS";2294;1615;581;3232;50;18
"Bento De Abreu";350620;"SP";2152;1524;540;3005;50,7;18
"Sagres";354470;"SP";1822;1335;438;2430;54,9;18
"São João De Iracema";354925;"SP";1332;929;348;1932;48,1;18
"Catanduva";351110;"SP";84299;58360;21958;122497;47,6;17,9
"Bonito";500220;"MS";14656;9592;3983;22190;43,2;17,9
"Ibirubá";431000;"RS";14084;9904;3647;20413;48,5;17,9
"Arroio Dos Ratos";430110;"RS";9929;6825;2537;14177;48,1;17,9
"Salgado De São Félix";251310;"PB";7914;5574;2166;12131;45,9;17,9
"Vera Cruz";355660;"SP";7497;5377;1942;10823;49,7;17,9
"Sinimbu";432067;"RS";6829;4781;1817;10162;47;17,9
"Paulo De Faria";353660;"SP";5737;4076;1605;8959;45,5;17,9
"Quintana";354200;"SP";4931;3456;1196;6688;51,7;17,9
"Dom Cavati";312250;"MG";3789;2862;904;5048;56,7;17,9
"Nova Esperança Do Sul";431303;"RS";3781;2682;968;5410;49,6;17,9
"Mutunópolis";521410;"GO";2988;2265;672;3764;60,2;17,9
"Saltinho";421535;"SC";2606;1836;673;3754;48,9;17,9
"Esmeralda";430740;"RS";2286;1606;590;3287;48,9;17,9
"Marapoama";352885;"SP";2238;1596;549;3064;52,1;17,9
"Damolândia";520680;"GO";1995;1439;529;2953;48,7;17,9
"Silveirânia";316730;"MG";1780;1334;406;2264;58,9;17,9
"Embaúba";351495;"SP";1746;1200;439;2449;49;17,9
"Lucianópolis";352750;"SP";1730;1217;431;2403;50,6;17,9
"Itambé Do Mato Dentro";313280;"MG";1403;1010;368;2056;49,1;17,9
"Andradina";350210;"SP";43192;31214;10188;57202;54,6;17,8
"Dracena";351440;"SP";36064;26365;8373;47043;56;17,8
"Paranaíba";500630;"MS";28534;20096;7523;42276;47,5;17,8
"Frederico Westphalen";430850;"RS";22562;15761;5601;31498;50;17,8
"Flores Da Cunha";430820;"RS";21153;14905;5520;31047;48;17,8
"Rosana";354425;"SP";12249;8714;2905;16281;53,5;17,8
"Glória";291140;"BA";9083;6376;2707;15234;41,9;17,8
"General Salgado";351690;"SP";8074;5688;1932;10862;52,4;17,8
"Recreio";315410;"MG";7169;5148;1877;10520;48,9;17,8
"Bálsamo";350480;"SP";6344;4374;1623;9139;47,9;17,8
"Quatiguá";412070;"PR";5434;3730;1334;7477;49,9;17,8
"Guiricema";312900;"MG";5319;3822;1487;8343;45,8;17,8
"Condor";430570;"RS";4719;3321;1204;6759;49,1;17,8
"Três Fronteiras";355490;"SP";4355;3149;1037;5832;54;17,8
"Anchieta";420080;"SC";4274;3112;990;5557;56;17,8
"Barão";430165;"RS";4024;2758;1107;6202;44,5;17,8
"Santa Rita De Jacutinga";315930;"MG";3449;2506;866;4863;51,5;17,8
"Ribeirão Do Sul";354320;"SP";3350;2407;810;4539;53;17,8
"Cafezal Do Sul";410347;"PR";2718;1919;712;4009;47,9;17,8
"Santa Cruz De Salinas";315737;"MG";2424;1641;730;4107;40;17,8
"Jardim Do Mulato";220525;"PI";2383;1521;803;4513;33,7;17,8
"Primavera De Rondônia";110147;"RO";2218;1724;494;2776;62,1;17,8
"Sede Nova";432023;"RS";2081;1490;516;2891;51,5;17,8
"Novo Brasil";521520;"GO";1966;1459;507;2843;51,3;17,8
"São Pedro Do Paraná";412590;"PR";1753;1325;408;2289;57,9;17,8
"São Bernardino";421575;"SC";1698;1256;407;2287;54,9;17,8
"Pinhal Da Serra";431446;"RS";1625;1263;342;1918;65,8;17,8
"São José Do Herval";431846;"RS";1423;1027;346;1943;52,9;17,8
"Dourados";500370;"MS";159072;110620;40013;225495;49,1;17,7
"Ponte Nova";315210;"MG";34007;22612;10580;59875;37,8;17,7
"São João Do Piauí";221000;"PI";12893;9126;3657;20662;44,2;17,7
"Cumaru";260490;"PE";7609;5773;1806;10192;56,6;17,7
"Terra De Areia";432143;"RS";7392;5137;1999;11315;45,4;17,7
"Anaurilândia";500080;"MS";6338;4302;1605;9076;47,4;17,7
"Potengi";231120;"CE";5465;3437;1968;11106;30,9;17,7
"Itaju Do Colônia";291540;"BA";3936;2767;1169;6596;41,9;17,7
"Pouso Alto";315260;"MG";3917;2825;1047;5900;47,9;17,7
"Mucurici";320360;"ES";3765;2627;973;5496;47,8;17,7
"Silvianópolis";316740;"MG";3332;2228;1104;6248;35,7;17,7
"Nova Santa Bárbara";411721;"PR";3243;2434;759;4277;56,9;17,7
"Almadina";290090;"BA";3059;2075;949;5366;38,7;17,7
"Ingazeira";260710;"PE";3028;2194;802;4543;48,3;17,7
"Almino Afonso";240060;"RN";2889;1987;834;4710;42,2;17,7
"Treviso";421835;"SC";2847;2009;702;3966;50,7;17,7
"Belém";270080;"AL";2589;1686;757;4284;39,4;17,7
"Prata Do Piauí";220860;"PI";2437;1842;556;3150;58,5;17,7
"Chapada Da Natividade";170510;"TO";1985;1397;588;3331;41,9;17,7
"Alagoa";310130;"MG";1925;1407;473;2665;52,8;17,7
"Itapuca";431057;"RS";1394;981;366;2065;47,5;17,7
"Santa Cruz Do Sul";431680;"RS";92730;65896;23155;131365;50,2;17,6
"Esteio";430770;"RS";57266;41176;14646;83279;49,4;17,6
"Nova Andradina";500620;"MS";34981;23350;9742;55224;42,3;17,6
"Rosário Do Sul";431640;"RS";27406;19791;6927;39314;50,3;17,6
"Montanha";320350;"ES";13253;9800;3325;18894;51,9;17,6
"Agudo";430010;"RS";11487;8178;2889;16401;49,9;17,6
"São Domingos Do Prata";316100;"MG";11053;7941;3042;17327;45,8;17,6
"Três Cachoeiras";432166;"RS";8036;5819;1955;11115;52,4;17,6
"Roca Sales";431580;"RS";7329;5221;2021;11481;45,5;17,6
"Simplício Mendes";221080;"PI";7184;4913;2239;12746;38,5;17,6
"Tombos";316920;"MG";5417;4003;1379;7850;51;17,6
"Santa Rita Do Pardo";500755;"MS";5277;3613;1391;7900;45,7;17,6
"Chalé";311600;"MG";3945;2848;1004;5699;50;17,6
"Teixeirópolis";110155;"RO";3396;2534;747;4233;59,9;17,6
"Presidente Bernardes";315310;"MG";3326;2383;938;5341;44,6;17,6
"Diamante D'Oeste";410715;"PR";3214;2209;929;5266;41,9;17,6
"Paulistas";314840;"MG";3031;2170;848;4812;45,1;17,6
"Tesouro";510810;"MT";2128;1406;672;3824;36,8;17,6
"Morro Grande";421125;"SC";1980;1381;509;2888;47,8;17,6
"Camacho";311040;"MG";1795;1250;506;2869;43,6;17,6
"Vargem Bonita";317060;"MG";1450;1072;378;2148;49,9;17,6
"Niterói";330330;"RJ";336205;236480;89949;515317;45,9;17,5
"Votuporanga";355710;"SP";67880;49002;16701;95338;51,4;17,5
"Pesqueira";261090;"PE";33298;21419;11879;67735;31,6;17,5
"Nova Esperança";411690;"PR";20644;15136;4891;27984;54,1;17,5
"Jaguarão";431100;"RS";18301;13235;4643;26500;49,9;17,5
"Feliz";430810;"RS";9544;6746;2384;13640;49,5;17,5
"Augusto Severo";240130;"RN";7071;5162;1694;9670;53,4;17,5
"Morpará";292160;"BA";4866;3270;1491;8497;38,5;17,5
"Nova Fátima";292273;"BA";4689;3220;1370;7821;41,2;17,5
"Desterro De Entre Rios";312140;"MG";4626;3346;1270;7255;46,1;17,5
"Vicente Dutra";432310;"RS";3294;2379;805;4599;51,7;17,5
"Pareci Novo";431403;"RS";2593;1798;677;3862;46,6;17,5
"Goiabeira";312737;"MG";2281;1662;591;3378;49,2;17,5
"Arenópolis";520235;"GO";1642;1179;443;2536;46,5;17,5
"Santo Antônio Do Paraíso";412430;"PR";1604;1227;362;2068;59,3;17,5
"Coronel Martins";420445;"SC";1563;1085;448;2555;42,5;17,5
"Nova Aurora";521480;"GO";1423;1020;388;2222;45,9;17,5
"Santa Inês";412360;"PR";1350;1075;275;1568;68,6;17,5
"Zabelê";251740;"PB";1260;830;395;2255;36,8;17,5
"Santo Ângelo";431750;"RS";55123;39509;13499;77568;50,9;17,4
"Cornélio Procópio";410640;"PR";34689;26167;8319;47842;54,7;17,4
"Soledade";432080;"RS";20580;14530;5386;31035;46,8;17,4
"Jardim";500500;"MS";18066;12661;4577;26238;48,3;17,4
"Central";290760;"BA";10579;7500;2999;17280;43,4;17,4
"Manga";313930;"MG";10449;7281;3168;18226;39,9;17,4
"Cardoso";351070;"SP";8598;6183;2144;12349;50,1;17,4
"São Roque Do Canaã";320495;"ES";8501;5900;2180;12510;47,2;17,4
"Itagi";291510;"BA";7395;5102;2136;12242;41,7;17,4
"Axixá";210110;"MA";7320;5114;2119;12183;42;17,4
"Brotas De Macaúbas";290450;"BA";6160;4345;1767;10130;42,9;17,4
"Martins";240740;"RN";5581;4001;1520;8758;45,7;17,4
"São Jorge Do Ivaí";412530;"PR";4196;3132;964;5543;56,5;17,4
"Adrianópolis";410020;"PR";4058;2967;1021;5857;50,7;17,4
"Nova Olímpia";411720;"PR";4002;2862;1015;5826;49,1;17,4
"Brejo Dos Santos";250290;"PB";3743;2524;1126;6464;39;17,4
"Nova Guarita";510880;"MT";3229;2213;777;4460;49,6;17,4
"Ritápolis";315610;"MG";3109;2275;794;4562;49,9;17,4
"Joanésia";313610;"MG";3085;2216;779;4476;49,5;17,4
"Água Santa";430005;"RS";2685;1949;651;3743;52,1;17,4
"Mar Vermelho";270490;"AL";1958;1349;609;3494;38,6;17,4
"Cumari";520660;"GO";1943;1438;494;2837;50,7;17,4
"Ribeirãozinho";510719;"MT";1882;1415;422;2422;58,4;17,4
"Quatro Irmãos";431531;"RS";1172;820;322;1851;44,3;17,4
"Bom Jesus Do Itabapoana";330060;"RJ";26771;19496;6447;37203;52,4;17,3
"Teutônia";432145;"RS";24172;17598;5849;33766;52,1;17,3
"Iporá";521020;"GO";21766;16119;5454;31499;51,2;17,3
"Itaporã";500450;"MS";14617;9571;4346;25162;38;17,3
"Paramirim";292360;"BA";13777;9786;3759;21695;45,1;17,3
"Governador Mangabeira";291160;"BA";13104;9348;3592;20762;45;17,3
"Jacaraci";291740;"BA";9167;6426;2574;14850;43,3;17,3
"Santa Mariana";412390;"PR";8017;5794;2013;11622;49,9;17,3
"Quixelô";231135;"CE";7766;4972;2794;16147;30,8;17,3
"Luís Gomes";240700;"RN";6337;4461;1753;10146;44;17,3
"Ouro Verde";353480;"SP";5781;4082;1493;8620;47,4;17,3
"Passa Tempo";314770;"MG";4982;3592;1390;8057;44,6;17,3
"Malhada De Pedras";292030;"BA";4910;3351;1450;8359;40,1;17,3
"Teodoro Sampaio";293140;"BA";4406;3098;1273;7359;42,1;17,3
"São José Do Piauí";221020;"PI";3806;2567;1159;6700;38,3;17,3
"Piedade Do Rio Grande";315030;"MG";3341;2492;772;4466;55,8;17,3
"Itaguaru";521060;"GO";3269;2370;899;5206;45,5;17,3
"Lunardelli";411375;"PR";3176;2283;822;4744;48,1;17,3
"Riozinho";431575;"RS";3017;2096;807;4676;44,8;17,3
"Serranópolis Do Iguaçu";412635;"PR";2809;2008;776;4477;44,9;17,3
"Aiquara";290060;"BA";2748;1951;762;4416;44,2;17,3
"Rifaina";354360;"SP";2722;1918;630;3640;52,7;17,3
"São João Do Cariri";251400;"PB";2644;1870;725;4184;44,7;17,3
"Pedrinhas Paulista";353715;"SP";2250;1622;535;3101;52,3;17,3
"Cascalho Rico";311500;"MG";1987;1416;536;3092;45,8;17,3
"Rio De Janeiro";330455;"RJ";4584295;3302018;1163796;6747815;48,9;17,2
"São João Da Boa Vista";354910;"SP";67377;47880;15810;91771;52,2;17,2
"Botucatu";350750;"SP";61836;36302;25534;148130;24,5;17,2
"Serra Negra";355160;"SP";20801;14566;5056;29452;49,5;17,2
"São Marcos";431900;"RS";14036;9777;3735;21658;45,1;17,2
"Espumoso";430750;"RS";11511;8391;2689;15591;53,8;17,2
"Ibitiara";291300;"BA";9100;6083;2821;16403;37,1;17,2
"Tarumirim";316840;"MG";9021;6447;2460;14302;45,1;17,2
"Brazópolis";310890;"MG";8405;5900;2480;14410;40,9;17,2
"Nordestina";292265;"BA";8203;5865;2263;13164;44,6;17,2
"São Domingos";292895;"BA";5779;4167;1557;9072;45,9;17,2
"Arenápolis";510130;"MT";5399;3608;1634;9502;38;17,2
"Assis Brasil";120005;"AC";4927;3562;1295;7534;47,3;17,2
"Felipe Guerra";240370;"RN";4808;3682;1031;5997;61,4;17,2
"Itacuruba";260740;"PE";4093;3223;855;4966;64,9;17,2
"Aragominas";170130;"TO";3221;2236;985;5731;39;17,2
"Novo Barreiro";431349;"RS";3194;2413;719;4175;57,8;17,2
"São Pedro Do Iguaçu";412575;"PR";3129;2123;1001;5820;36,5;17,2
"Amparo Da Serra";310250;"MG";2911;2105;806;4678;45;17,2
"Paineiras";314640;"MG";2807;2017;769;4462;45,2;17,2
"Hidrolina";520980;"GO";2486;1846;603;3508;52,6;17,2
"Prata";251220;"PB";2474;1667;727;4238;39,3;17,2
"Palmeira";421205;"SC";1782;1292;456;2650;48,8;17,2
"São Manoel Do Paraná";412555;"PR";1662;1190;371;2163;55;17,2
"Santa Helena";421555;"SC";1601;1162;378;2200;52,8;17,2
"Ibicaraí";291210;"BA";13807;10016;3652;21378;46,9;17,1
"Mairi";292010;"BA";11058;7671;3174;18602;41,2;17,1
"Souto Soares";293080;"BA";10363;7285;2914;17050;42,7;17,1
"São Bento Do Sapucaí";354860;"SP";7331;5276;1866;10893;48,4;17,1
"Brasilândia";500230;"MS";7154;4911;2022;11853;41,4;17,1
"São Jerônimo Da Serra";412470;"PR";7102;5153;1904;11128;46,3;17,1
"Coronel Freitas";420440;"SC";6575;4697;1703;9940;47,3;17,1
"Santa Terezinha De Goiás";521970;"GO";5602;4111;1463;8562;48;17,1
"Paraí";431400;"RS";5044;3520;1322;7727;45,6;17,1
"Santo Antônio Do Jardim";354810;"SP";4290;3020;1013;5940;50,8;17,1
"Santana Dos Garrotes";251360;"PB";4092;2795;1192;6986;40;17,1
"Aguiar";250020;"PB";3463;2431;960;5630;43,2;17,1
"Malta";250880;"PB";3218;2149;981;5752;37,4;17,1
"Monte Castelo";353160;"SP";3141;2260;713;4166;54,2;17,1
"Romelândia";421520;"SC";3122;2294;799;4684;49;17,1
"Diogo De Vasconcelos";312170;"MG";2572;1882;649;3790;49,7;17,1
"Marliéria";314030;"MG";2507;1747;690;4034;43,3;17,1
"Leandro Ferreira";313830;"MG";1941;1373;553;3226;42,6;17,1
"Sul Brasil";421775;"SC";1757;1307;415;2423;53,9;17,1
"Wenceslau Braz";317220;"MG";1730;1256;436;2548;49,3;17,1
"Jardim Olinda";411260;"PR";982;697;226;1320;52,8;17,1
"Angatuba";350220;"SP";22078;16742;4331;25479;65,7;17
"Baixo Guandu";320080;"ES";21585;15273;5288;31132;49,1;17
"Guaçuí";320230;"ES";19509;13565;5304;31122;43,6;17
"Tupaciguara";316960;"MG";16565;11561;4322;25398;45,5;17
"Valença Do Piauí";221130;"PI";12946;9221;3557;20929;44,1;17
"Eldorado";500375;"MS";8260;5559;2110;12400;44,8;17
"Jacinto";313470;"MG";6884;4703;2093;12323;38,2;17
"Uchoa";355560;"SP";6733;4670;1724;10151;46;17
"São João Do Ivaí";412500;"PR";6300;4526;1705;10056;45;17
"Ferros";312590;"MG";5582;3920;1647;9696;40,4;17
"Irapuru";352160;"SP";5409;3868;1414;8325;46,5;17
"Condado";250450;"PB";4113;2884;1135;6658;43,3;17
"Nova Tebas";411727;"PR";3734;2732;924;5448;50,1;17
"Rosário Do Ivaí";412265;"PR";3397;2524;797;4689;53,8;17
"Capivari Do Sul";430467;"RS";3172;2251;802;4728;47,6;17
"Pedra Grande";240950;"RN";2085;1508;543;3199;47,1;17
"Brejo Alegre";350775;"SP";1933;1352;491;2889;46,8;17
"Itaúna Do Sul";411130;"PR";1899;1342;473;2781;48,3;17
"Floresta Do Piauí";220385;"PI";1552;1074;434;2560;42;17
"Olho D'Água Do Piauí";220710;"PI";1467;998;420;2468;40,4;17
"Vitória Brasil";355695;"SP";1350;970;313;1846;52,5;17
"Belém";150140;"PA";924695;670880;253815;1499641;44,7;16,9
"Erechim";430700;"RS";73368;52890;18021;106633;49,6;16,9
"Apodi";240100;"RN";25464;18664;6052;35874;52;16,9
"São Raimundo Nonato";221060;"PI";20890;14845;5880;34877;42,6;16,9
"Tapejara";432090;"RS";15443;10724;4158;24552;43,7;16,9
"Jussara";521220;"GO";13355;10132;3104;18371;55,2;16,9
"Arara";250090;"PB";7662;5254;2290;13542;38,8;16,9
"Guaraqueçaba";410950;"PR";6526;5239;1287;7594;69;16,9
"Nova Santa Rosa";411722;"PR";5307;3788;1395;8266;45,8;16,9
"São Mamede";251490;"PB";4636;3210;1305;7702;41,7;16,9
"Itá";420800;"SC";4159;2933;1036;6129;47,9;16,9
"Tapira";412690;"PR";4022;2967;926;5495;54;16,9
"São João Do Jaguaribe";231250;"CE";3454;2172;1282;7601;28,6;16,9
"Pinheirinho Do Vale";431449;"RS";3252;2310;827;4899;47,2;16,9
"Álvaro De Carvalho";350140;"SP";3087;2088;893;5274;39,6;16,9
"Tocos Do Moji";316905;"MG";2864;2100;696;4109;51,1;16,9
"Sertãozinho";251593;"PB";2713;1797;858;5089;35,3;16,9
"Paraná";240860;"RN";2600;1836;723;4276;42,9;16,9
"Sulina";412665;"PR";2417;1923;494;2930;65,6;16,9
"Santo Antônio Do Aventureiro";316000;"MG";2406;1783;609;3602;49,5;16,9
"Coronel Xavier Chaves";311970;"MG";2358;1712;581;3441;49,8;16,9
"Pedrinópolis";314920;"MG";2326;1711;615;3643;47;16,9
"São Bentinho";251392;"PB";2216;1446;770;4566;31,7;16,9
"Flórida";410810;"PR";1967;1466;456;2699;54,3;16,9
"Lajeado Do Bugre";431142;"RS";1629;1151;433;2566;44,9;16,9
"Guaporema";410910;"PR";1568;1144;379;2241;51;16,9
"Inhacorá";431041;"RS";1509;1090;374;2215;49,2;16,9
"Dois Irmãos Das Missões";430642;"RS";1435;1055;339;2008;52,5;16,9
"Pedro Teixeira";314940;"MG";1323;987;306;1806;54,7;16,9
"Colatina";320150;"ES";77725;56920;20735;123400;46,1;16,8
"Itapira";352260;"SP";50007;36485;12629;75234;48,5;16,8
"Águas Belas";260050;"PE";28022;20450;7338;43686;46,8;16,8
"Salto Do Jacuí";431645;"RS";8419;6028;2095;12481;48,3;16,8
"Água Doce Do Norte";320016;"ES";7104;4929;1829;10909;45,2;16,8
"Torrinha";355470;"SP";6846;5015;1692;10056;49,9;16,8
"Marilena";411500;"PR";4734;3376;1193;7084;47,7;16,8
"Rio Do Oeste";421460;"SC";4632;3234;1264;7520;43;16,8
"Varjão De Minas";317075;"MG";4468;3235;1199;7138;45,3;16,8
"Doutor Camargo";410730;"PR";4447;3330;1005;5983;55,7;16,8
"Marizópolis";250915;"PB";4134;2976;1116;6654;44,7;16,8
"São José Do Goiabal";316340;"MG";3458;2509;905;5387;46,6;16,8
"Rio Fortuna";421490;"SC";3409;2477;777;4620;53,6;16,8
"Cabaceiras";250310;"PB";3245;2204;949;5661;38,9;16,8
"Atalaia";410220;"PR";2994;2282;652;3881;58,8;16,8
"Dom Viçoso";312280;"MG";2529;1959;502;2997;65,4;16,8
"Barão De Antonina";350500;"SP";2511;1837;586;3498;52,5;16,8
"Itacurubi";431055;"RS";2487;1837;580;3460;53,1;16,8
"Guarará";312850;"MG";2469;1807;633;3775;47,9;16,8
"Taquaral De Goiás";522100;"GO";2318;1690;592;3521;48;16,8
"Amorinópolis";520090;"GO";2036;1506;515;3069;49,1;16,8
"Pimenteiras Do Oeste";110146;"RO";1638;1250;361;2148;58,2;16,8
"Serranos";316700;"MG";1259;896;328;1956;45,8;16,8
"Fortaleza";230440;"CE";1828701;1381354;447347;2686612;51,4;16,7
"Marília";352900;"SP";170957;125518;40199;240590;52,2;16,7
"Santa Rosa";431720;"RS";50346;35829;12303;73575;48,7;16,7
"Camaquã";430350;"RS";44202;31424;11095;66478;47,3;16,7
"Afonso Cláudio";320010;"ES";21992;16303;5088;30455;53,5;16,7
"Cabrobó";260300;"PE";21975;16082;5763;34503;46,6;16,7
"Minaçu";521308;"GO";19547;14540;4815;28793;50,5;16,7
"Senador Pompeu";231270;"CE";10733;6487;4246;25456;25,5;16,7
"Bicas";310690;"MG";10214;7457;2425;14554;51,2;16,7
"Sete Quedas";500770;"MS";9784;4765;1794;10771;44,2;16,7
"Belém";250190;"PB";9529;6500;2955;17705;36,7;16,7
"Ilha Comprida";352042;"SP";9044;6970;1898;11362;61,3;16,7
"Cambuquira";311070;"MG";8112;5895;2146;12812;46;16,7
"Pirangi";353900;"SP";7716;5417;1918;11471;47,2;16,7
"Mulungu Do Morro";292205;"BA";7347;5509;1780;10673;51,6;16,7
"Aratuba";230140;"CE";6950;4805;1972;11802;40,7;16,7
"Rio Das Flores";330450;"RJ";6471;4837;1560;9344;51,8;16,7
"Arealva";350340;"SP";5913;4185;1435;8613;48,6;16,7
"São Rafael";241280;"RN";5840;4380;1367;8192;53,5;16,7
"Monte Alegre Do Sul";353120;"SP";5674;4016;1357;8111;49,5;16,7
"Tupãssi";412795;"PR";5331;3775;1358;8121;46,5;16,7
"Pocrane";315190;"MG";5294;3870;1399;8359;46,3;16,7
"Treze De Maio";421840;"SC";5018;3566;1181;7093;50,3;16,7
"Lagamar";313710;"MG";4631;3331;1270;7600;43,8;16,7
"Araricá";430087;"RS";4114;2974;965;5771;51,5;16,7
"Equador";240340;"RN";4089;3038;1014;6054;50,2;16,7
"Américo De Campos";350180;"SP";3967;2858;1001;5981;47,8;16,7
"Alvarenga";310220;"MG";2829;2170;641;3844;56,5;16,7
"Jateí";500510;"MS";2638;1843;673;4021;45,8;16,7
"Bugre";310925;"MG";2509;1839;665;3983;46,2;16,7
"Sebastianópolis Do Sul";355130;"SP";2470;1769;592;3554;49,8;16,7
"Sarutaiá";355120;"SP";2388;1705;608;3630;47;16,7
"Corumbataí Do Sul";410655;"PR";2270;1724;521;3127;55,1;16,7
"Castanheiras";110090;"RO";2209;1631;498;2987;54,6;16,7
"Bom Sucesso Do Sul";410322;"PR";2125;1554;543;3254;47,8;16,7
"Campos Verdes";520495;"GO";1768;1462;306;1830;79,9;16,7
"Paulistânia";353657;"SP";1279;932;306;1834;50,8;16,7
"Chapada De Areia";170460;"TO";954;718;236;1410;50,9;16,7
"Castelo";320140;"ES";24028;16465;6276;37747;43,6;16,6
"Encruzilhada Do Sul";430690;"RS";15441;11033;4311;25960;42,5;16,6
"Palmital";353530;"SP";15369;10792;3705;22272;48,5;16,6
"Belo Campo";290350;"BA";9347;6343;2833;17109;37,1;16,6
"Engenheiro Paulo De Frontin";330180;"RJ";8240;5743;2333;14071;40,8;16,6
"Rio Paranaíba";315550;"MG";7667;5317;2050;12335;43,1;16,6
"Várzea Nova";293315;"BA";6859;4669;2102;12625;37;16,6
"Angélica";500085;"MS";6792;4637;1814;10932;42,4;16,6
"Santana De Pirapama";315850;"MG";5716;4426;1260;7589;58,3;16,6
"Bodoquena";500215;"MS";5680;3992;1299;7838;50,9;16,6
"Abadia De Goiás";520005;"GO";5543;3997;1491;8958;44,6;16,6
"Guaraciaba";312820;"MG";5538;3825;1713;10315;37,1;16,6
"Coluna";311680;"MG";5367;3897;1464;8841;44,1;16,6
