"municipio.x";"cod_ibge";"uf";"total_doses";"total_dose_1";"total_dose_2";"populacao";"cobertura_vacinal_dose_1";"cobertura_vacinal_dose_2"
"Imigrante";431036;"RS";2047;1430;587;3124;45,8;18,8
"Celso Ramos";420415;"SC";2030;1430;511;2719;52,6;18,8
"Piau";315010;"MG";1894;1369;515;2733;50,1;18,8
"Umburatiba";317030;"MG";1858;1369;489;2596;52,7;18,8
"Barbacena";310560;"MG";80872;54994;25878;138204;39,8;18,7
"Carazinho";430470;"RS";45203;33572;11631;62265;53,9;18,7
"Estrela";430780;"RS";22490;15454;6438;34399;44,9;18,7
"Ubiratã";412800;"PR";17555;13097;3914;20909;62,6;18,7
"Júlio De Castilhos";431120;"RS";13490;9897;3593;19224;51,5;18,7
"Amarante";220050;"PI";12022;8522;3293;17604;48,4;18,7
"Manoel Ribas";411450;"PR";9374;6166;2524;13510;45,6;18,7
"Pacaembu";353490;"SP";9247;6295;2673;14263;44,1;18,7
"Presidente Jânio Quadros";292570;"BA";7561;5287;2274;12179;43,4;18,7
"São Vicente Do Sul";431980;"RS";6259;4625;1634;8732;53;18,7
"Pérola D'Oeste";411900;"PR";4334;3053;1174;6288;48,6;18,7
"Aroazes";220090;"PI";3559;2379;1090;5827;40,8;18,7
"Moeda";314230;"MG";3211;2279;922;4934;46,2;18,7
"Cerro Negro";420417;"SC";2507;1926;573;3068;62,8;18,7
"Tio Hugo";432146;"RS";2244;1593;572;3055;52,1;18,7
